,index,Number,Title,Description,Link
1838,30,"Season 139, Episode 3",Getting It All in Florence,"After an ongoing love affair with the city, a couple decides to make a permanent move to Florence, Italy. He wants that Old World charm he can't get in California -- even if it means extensive renovation -- but with a budget of over a million dollars, she's expecting turnkey perfection. They'll both need to adjust their expectations, however, if they want to buy their dream home before the market permanent puts their dreams out of reach.",https://www.hgtv.com/shows/house-hunters-international/episodes/getting-it-all-in-florence
1839,31,"Season 139, Episode 4",A Fresh Start in Germany,"A man follows in his globetrotting military family's footsteps with a move to Regensburg, Germany. His best friend will be by his side to help him find the right house but it's a tall order for the young bachelor who has shipped his beloved car from the United States and has a profound dislike for one of Bavarian Germany's main building features -- wood!",https://www.hgtv.com/shows/house-hunters-international/episodes/a-fresh-start-in-germany
1840,32,"Season 139, Episode 5",Bickering in Colombia,"A couple affectionately referred to as the ""Bickersons"" because of their back-and-forth quips searches for a home in Medellin, Colombia. With different tastes and desires, the duo has a battle on their hands as they attempt to find enough space for their modern family while sticking to a strict budget.",https://www.hgtv.com/shows/house-hunters-international/episodes/bickering-in-colombia
1841,33,"Season 139, Episode 6",Famous Frenchies in London,"What started as fun pictures of French bulldogs on social media quickly turned into two photogenic pups acting as the breadwinners of the family! Looking to expand their opportunities, the dogs and their owners are heading to England thinking West London charm will be the perfect backdrop for more photos. A local property expert has his work cut out for him as he helps these social media superstars find the perfect place to rest their paws.",https://www.hgtv.com/shows/house-hunters-international/episodes/famous-frenchies-in-london
1842,34,"Season 139, Episode 8","Finding a Voice in Nice, France","After having a rough year, a Texas man is taking a daring leap by selling his landlocked house and pursuing a singing career in Nice, France. His good friend and property expert has pulled off many French miracles in the past but getting her buddy to downsize into a fabulous-yet-affordable home could be her greatest challenge yet.",https://www.hgtv.com/shows/house-hunters-international/episodes/finding-a-voice-in-nice-france
1843,35,"Season 139, Episode 9",A Beach House in Ecuador,"After beating cancer, a woman and her family decide to head to developing Ecuador where they can live their dream of having a home on the water affordably. Their daughter comes along for the ride to help them pick the perfect house to act as their second home -- and her new vacation spot!",https://www.hgtv.com/shows/house-hunters-international/episodes/a-beach-house-in-ecuador
1844,36,"Season 139, Episode 10",Fighting Cavities in Cairns,"An adventurous woman and her family decide to uproot their comfortable lives in Missouri so she can attend dental school in Cairns, Australia. Its lush, tropical rainforest and access to the wild-blue expanses of the Great Barrier Reef were too stunning of a backdrop to resist but now they must rely on their life savings to fund their reset.",https://www.hgtv.com/shows/house-hunters-international/episodes/fighting-cavities-in-cairns
1845,37,"Season 139, Episode 11",Back to Bangkok,"After years in Jakarta, Indonesia, a couple is ready to make a permanent move to Bangkok, Thailand. She's tired of the hustle and bustle of the city and would love a little green space for her family to enjoy. However, he's hesitant to leave behind his professional and personal connections and hopes to build new ones by living in the center of it all.",https://www.hgtv.com/shows/house-hunters-international/episodes/back-to-bangkok
1846,38,"Season 139, Episode 12",A Home Away in Panama,A couple decides it's the perfect time to move to Panama but they must first decide between seclusion and community. She wants a pool and an ocean view with the community style provided by condo living while he'd rather have something more private where he can be alone with his barbecue and garden.,https://www.hgtv.com/shows/house-hunters-international/episodes/a-home-away-in-panama
1847,39,"Season 139, Episode 13",Out and About in London,"After falling in love with Europe's thriving LGBT community on a backpacking trip, a Beijing man follows a job offer to London with big dreams of living a more open lifestyle. Eager for a change, he's totally unprepared for the big cost that accompanies London's more vibrant neighborhoods and faces the possibility of being priced out of the location and lifestyle that lured him there.",https://www.hgtv.com/shows/house-hunters-international/episodes/out-and-about-in-london
1848,40,"Season 139, Episode 13",Out and About in London,"After falling in love with Europe's thriving LGBT community on a backpacking trip, a Beijing man follows a job offer to London with big dreams of living a more open lifestyle. Eager for a change, he's totally unprepared for the big cost that accompanies London's more vibrant neighborhoods and faces the possibility of being priced out of the location and lifestyle that lured him there.",https://www.hgtv.com/shows/house-hunters-international/episodes/out-and-about-in-london
1849,41,"Season 140, Episode 1",Peace vs. Project in Spain,"After vacationing in Spain's Island of Mallorca, a couple has decided to make a permanent move so they can be closer to her family. They have dramatically different ideas when it comes to lifestyle, however, and the split is threatening to derail the house hunt. She's picturing a leisurely island lifestyle in a stress-free turnkey home but he's looking for a project like the one he's found in a centuries-old abandoned farmhouse.",https://www.hgtv.com/shows/house-hunters-international/episodes/peace-vs-project-in-spain
1850,42,"Season 140, Episode 2",Pups in a St. Croix Paradise,"An Indiana couple is ready to escape harsh winters and uproot to St. Croix in the US Virgin Islands with their two beloved dogs. Money is tight, however, so the properties they can afford are also tight. She'll stop at nothing to make sure their dogs have enough space to play but he's fighting to make sure the perfect doggie domicile doesn't price them out of their paradise.",https://www.hgtv.com/shows/house-hunters-international/episodes/pups-in-a-st-croix-paradise
1851,43,"Season 140, Episode 3",Operation Mexico,"After receiving a lifesaving kidney transplant, a man has re-evaluated his priorities and is ready to let loose, enjoy life and spend more time with his husband. They're making a change for the better by buying a vacation home in Puerto Vallarta, Mexico, but things start to get rocky when it comes to finances.",https://www.hgtv.com/shows/house-hunters-international/episodes/operation-mexico
